Quantity,UnitPrice,ItemsInCart,TotalPrice
5.0,570.62,7.0,2853.1
2.0,,,302.7
5.0,,8.0,2753.4
1.0,273.19,5.0,273.19
4.0,626.01,8.0,2504.04
2.0,245.86,4.0,491.72
,664.42,6.0,664.42
5.0,149.55,9.0,747.75
2.0,134.28,2.0,268.56
4.0,509.38,6.0,2037.52
,625.97,9.0,3129.85
3.0,49.14,,147.42
2.0,180.5,6.0,361.0
3.0,201.49,,604.47
2.0,393.33,3.0,786.66
1.0,473.96,3.0,473.96
2.0,,3.0,1067.62
1.0,423.4,,423.4
1.0,431.44,,431.44
5.0,224.0,9.0,1120.0
5.0,62.51,9.0,312.55
,342.95,,1371.8
2.0,49.62,2.0,99.24
4.0,273.25,5.0,1093.0
2.0,230.95,3.0,461.9
1.0,399.98,3.0,399.98
5.0,59.55,,297.75
1.0,472.74,6.0,472.74
4.0,160.07,5.0,640.28
,423.53,6.0,1270.59
2.0,426.7,5.0,853.4
3.0,500.08,6.0,1500.24
,536.72,10.0,2683.6
1.0,,4.0,162.77
4.0,576.52,5.0,2306.08
2.0,465.15,2.0,930.3
2.0,534.43,5.0,1068.86
,76.74,7.0,153.48
1.0,245.89,3.0,245.89
3.0,256.46,4.0,769.38
,344.02,4.0,688.04
3.0,611.45,4.0,1834.35
,151.66,6.0,303.32
3.0,499.21,8.0,1497.63
2.0,550.18,3.0,1100.36
1.0,317.25,1.0,317.25
4.0,,4.0,2200.56
2.0,,3.0,419.88
2.0,80.77,,161.54
1.0,30.44,1.0,30.44
1.0,179.22,6.0,179.22
1.0,388.33,2.0,388.33
1.0,,5.0,586.44
4.0,,5.0,1955.12
1.0,280.25,5.0,280.25
3.0,344.4,,1033.2
,479.21,5.0,1437.63
5.0,314.27,6.0,1571.35
,,6.0,1898.76
4.0,593.27,5.0,2373.08
1.0,417.1,3.0,417.1
4.0,122.2,7.0,488.8
2.0,43.15,3.0,86.3
1.0,564.86,6.0,564.86
3.0,,4.0,391.83
5.0,,6.0,408.5
,127.18,9.0,635.9
4.0,12.1,,48.4
,490.92,5.0,1472.76
3.0,478.65,4.0,1435.95
1.0,629.21,2.0,629.21
3.0,434.45,4.0,1303.35
,589.44,5.0,2357.76
4.0,,4.0,1733.8
5.0,90.87,5.0,454.35
3.0,,5.0,1194.51
4.0,382.88,,1531.52
,583.18,5.0,583.18
4.0,,,701.44
,311.91,2.0,623.82
3.0,589.56,6.0,1768.68
2.0,394.3,6.0,788.6
4.0,565.2,9.0,2260.8
,,,2161.64
2.0,165.49,4.0,330.98
3.0,146.73,8.0,440.19
5.0,,5.0,3215.15
3.0,225.11,4.0,675.33
